link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],flat,104,Piso: 1,3,134.95 m2,"S/ 924,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],flat,X01,"Pisos: 4, 5, 6",3,76.13 m2,"S/ 552,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],flat,X02,"Pisos: 3, 4, 5, 6",2,61.00 m2,"S/ 472,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],flat,X03,"Pisos: 3, 5, 6",3,76.84 m2,"S/ 552,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],flat,X04,"Pisos: 3, 4, 5, 6",3,70.60 m2,"S/ 521,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],flat,X05,"Pisos: 3, 4, 5, 6",3,70.60 m2,"S/ 521,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],,X05,,,,
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],,X05,,,,
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],,X05,,,,
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],,X05,,,,
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],,X05,,,,
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2948-vittorie-surquillo-lima-lima-dym-grupo-inmobiliario,Av. Principal 915
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2948-vittorie-surquillo-lima-lima-dym-grupo-inmobiliario,VITTORIE,-12.1195549,-77.0041086,Av. Principal 915,Surquillo,En construcción,"30 de Mayo, 2025",Banco BCP,"['Lobby', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TIPO F,Pisos: Entre 5 al 15,3,70.00 m2,"S/ 484,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2948-vittorie-surquillo-lima-lima-dym-grupo-inmobiliario,VITTORIE,-12.1195549,-77.0041086,Av. Principal 915,Surquillo,En construcción,"30 de Mayo, 2025",Banco BCP,"['Lobby', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TIPO G,Pisos: Entre 4 al 9,2,53.00 m2,"S/ 370,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2502-malva-jesus-maria-lima-lima-grupo-tyc,Av. Brasil 1775
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2502-malva-jesus-maria-lima-lima-grupo-tyc,MALVA,-12.076928,-77.0549693,Av. Brasil 1775,Jesus Maria,Entrega inmediata,"31 de Octubre, 2023",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,1,"Pisos: 2, 4, 5, 7, 11",2,67.00 m2,"S/ 488,077"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2502-malva-jesus-maria-lima-lima-grupo-tyc,MALVA,-12.076928,-77.0549693,Av. Brasil 1775,Jesus Maria,Entrega inmediata,"31 de Octubre, 2023",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,2,Piso: 8,3,88.12 m2,"S/ 650,054"
